Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Dia,10-junio-2026,10-junio-2026.1,10-junio-2026.2,10-junio-2026.3,10-junio-2026.4,10-junio-2026.5,10-junio-2026.6,10-junio-2026.7,10-junio-2026.8,10-junio-2026.9,10-junio-2026.10,10-junio-2026.11,10-junio-2026.12,10-junio-2026.13,10-junio-2026.14,10-junio-2026.15,10-junio-2026.16,10-junio-2026.17,10-junio-2026.18,10-junio-2026.19,10-junio-2026.20,10-junio-2026.21,10-junio-2026.22,10-junio-2026.23,10-junio-2026.24,10-junio-2026.25,10-junio-2026.26,10-junio-2026.27,10-junio-2026.28,10-junio-2026.29,10-junio-2026.30,10-junio-2026.31,10-junio-2026.32,10-junio-2026.33,10-junio-2026.34,10-junio-2026.35,10-junio-2026.36,10-junio-2026.37,10-junio-2026.38,10-junio-2026.39,10-junio-2026.40,10-junio-2026.41,10-junio-2026.42,10-junio-2026.43,10-junio-2026.44,10-junio-2026.45,10-junio-2026.46,10-junio-2026.47,10-junio-2026.48,10-junio-2026.49,10-junio-2026.50,10-junio-2026.51,10-junio-2026.52,10-junio-2026.53,10-junio-2026.54,10-junio-2026.55,10-junio-2026.56,10-junio-2026.57,10-junio-2026.58,10-junio-2026.59,10-junio-2026.60,10-junio-2026.61,10-junio-2026.62,10-junio-2026.63,10-junio-2026.64,10-junio-2026.65,10-junio-2026.66,10-junio-2026.67,10-junio-2026.68,10-junio-2026.69,10-junio-2026.70,10-junio-2026.71,10-junio-2026.72,10-junio-2026.73,10-junio-2026.74,10-junio-2026.75,10-junio-2026.76,10-junio-2026.77,10-junio-2026.78,10-junio-2026.79,10-junio-2026.80,10-junio-2026.81,10-junio-2026.82,10-junio-2026.83,10-junio-2026.84,10-junio-2026.85,10-junio-2026.86,10-junio-2026.87,10-junio-2026.88,10-junio-2026.89,10-junio-2026.90,10-junio-2026.91,10-junio-2026.92,10-junio-2026.93,10-junio-2026.94,10-junio-2026.95
,,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Precedencia,Indicadores,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
Venta,A2GAME2,Blq. 1,10,Mercado,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,ABA1,Blq. 1,1,Mercado,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Venta,ABA2,Blq. 1,1,Mercado,,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Venta,ABO1,Blq. 1,1,Mercado,,"341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7","341,7"
Venta,ABO2G,Blq. 1,1,Mercado,,"561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8","561,8"
Venta,ACE3,Blq. 1,1,Mercado,,"345,3","345,3","345,3","345,3","345,3","345,3","345,3","345,3","351,9","351,9","351,9","351,9","354,1","354,1","354,1","354,1","356,0","356,0","356,0","356,0","357,6","357,6","357,6","357,6","357,6","357,6","357,6","357,6","359,5","359,5","359,5","359,5","358,2","358,2","358,2","358,2","355,3","355,3","355,3","355,3","352,3","352,3","352,3","352,3","352,3","352,3","352,3","352,3","344,9","344,9","344,9","344,9","340,9","340,9","340,9","340,9","337,4","337,4","337,4","337,4","334,7","334,7","334,7","334,7","334,7","334,7","334,7","334,7","331,9","331,9","331,9","331,9","331,6","331,6","331,6","331,6","332,1","332,1","332,1","332,1","333,3","333,3","333,3","333,3","333,3","333,3","333,3","333,3","342,4","342,4","342,4","342,4","344,9","344,9","344,9","344,9"
Venta,ACE3,Blq. 2,1,Mercado,,"40,7","40,7","40,7","40,7","40,7","40,7","40,7","40,7","34,1","34,1","34,1","34,1","31,9","31,9","31,9","31,9","30,0","30,0","30,0","30,0","28,4","28,4","28,4","28,4","28,4","28,4","28,4","28,4","26,5","26,5","26,5","26,5","27,8","27,8","27,8","27,8","30,7","30,7","30,7","30,7","33,7","33,7","33,7","33,7","33,7","33,7","33,7","33,7","41,1","41,1","41,1","41,1","45,1","45,1","45,1","45,1","48,6","48,6","48,6","48,6","51,3","51,3","51,3","51,3","51,3","51,3","51,3","51,3","54,1","54,1","54,1","54,1","54,4","54,4","54,4","54,4","53,9","53,9","53,9","53,9","52,7","52,7","52,7","52,7","52,7","52,7","52,7","52,7","43,6","43,6","43,6","43,6","41,1","41,1","41,1","41,1"
Venta,ACE4,Blq. 1,1,Mercado,,"379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3"
