Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Dia,15-06-2026,15-06-2026.1,15-06-2026.2,15-06-2026.3,15-06-2026.4,15-06-2026.5,15-06-2026.6,15-06-2026.7,15-06-2026.8,15-06-2026.9,15-06-2026.10,15-06-2026.11,15-06-2026.12,15-06-2026.13,15-06-2026.14,15-06-2026.15,15-06-2026.16,15-06-2026.17,15-06-2026.18,15-06-2026.19,15-06-2026.20,15-06-2026.21,15-06-2026.22,15-06-2026.23,15-06-2026.24,15-06-2026.25,15-06-2026.26,15-06-2026.27,15-06-2026.28,15-06-2026.29,15-06-2026.30,15-06-2026.31,15-06-2026.32,15-06-2026.33,15-06-2026.34,15-06-2026.35,15-06-2026.36,15-06-2026.37,15-06-2026.38,15-06-2026.39,15-06-2026.40,15-06-2026.41,15-06-2026.42,15-06-2026.43,15-06-2026.44,15-06-2026.45,15-06-2026.46,15-06-2026.47,15-06-2026.48,15-06-2026.49,15-06-2026.50,15-06-2026.51,15-06-2026.52,15-06-2026.53,15-06-2026.54,15-06-2026.55,15-06-2026.56,15-06-2026.57,15-06-2026.58,15-06-2026.59,15-06-2026.60,15-06-2026.61,15-06-2026.62,15-06-2026.63,15-06-2026.64,15-06-2026.65,15-06-2026.66,15-06-2026.67,15-06-2026.68,15-06-2026.69,15-06-2026.70,15-06-2026.71,15-06-2026.72,15-06-2026.73,15-06-2026.74,15-06-2026.75,15-06-2026.76,15-06-2026.77,15-06-2026.78,15-06-2026.79,15-06-2026.80,15-06-2026.81,15-06-2026.82,15-06-2026.83,15-06-2026.84,15-06-2026.85,15-06-2026.86,15-06-2026.87,15-06-2026.88,15-06-2026.89,15-06-2026.90,15-06-2026.91,15-06-2026.92,15-06-2026.93,15-06-2026.94,15-06-2026.95
,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Indicadores,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
Venta,A2GAME2,Blq. 1,10,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Venta,ACE3,Blq. 1,1,,"356,2","356,2","356,2","356,2","356,2","356,2","356,2","356,2","358,1","358,1","358,1","358,1","358,9","358,9","358,9","358,9","333,5","306,5","295,5","274,5","254,0","200,0","200,0","200,0","200,0","200,0","200,0","200,0","200,8","200,8","200,8","200,8","198,2","198,2","347,2","358,2","354,6","354,6","354,6","354,6","350,4","350,4","350,4","350,4","345,9","345,9","345,9","345,9","342,2","342,2","342,2","342,2","342,2","342,2","342,2","342,2","335,8","335,8","335,8","335,8","333,5","333,5","333,5","333,5","332,1","332,1","332,1","332,1","332,1","332,1","332,1","332,1","332,1","332,1","332,1","332,1","338,1","338,1","338,1","338,1","338,7","338,7","338,7","338,7","340,9","340,9","340,9","340,9","346,7","346,7","346,7","346,7","346,7","346,7","346,7","346,7"
Venta,ACE3,Blq. 2,1,,"29,8","29,8","29,8","29,8","29,8","29,8","29,8","29,8","27,9","27,9","27,9","27,9","27,1","27,1","27,1","27,1","52,5","79,5","90,5","111,5","132,0","186,0","186,0","186,0","186,0","186,0","186,0","186,0","185,2","185,2","185,2","185,2","187,8","187,8","38,8","27,8","31,4","31,4","31,4","31,4","35,6","35,6","35,6","35,6","40,1","40,1","40,1","40,1","43,8","43,8","43,8","43,8","43,8","43,8","43,8","43,8","50,2","50,2","50,2","50,2","52,5","52,5","52,5","52,5","53,9","53,9","53,9","53,9","53,9","53,9","53,9","53,9","53,9","53,9","53,9","53,9","47,9","47,9","47,9","47,9","47,3","47,3","47,3","47,3","45,1","45,1","45,1","45,1","39,3","39,3","39,3","39,3","39,3","39,3","39,3","39,3"
Venta,ACE4,Blq. 1,1,,"379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3","379,3"
Venta,AE11COG,Blq. 1,10,,"3,5","3,5","3,5","3,5",,,,,"3,5","3,5","3,5","3,5",,,,,"3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5",,,,,,,,,,,,,,,,"0,0","3,5","3,5","3,5","3,5",,,,,"3,5","3,5","3,5","3,5",,,,,,,,,,,,,"3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5","3,5"
Venta,AFALZ4C,Blq. 1,17,,"25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8"
Venta,AFALZ5C,Blq. 1,17,,"25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8","25,8"
Venta,AFIANHC,Blq. 1,17,,"26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0","26,0"
