Unnamed: 0,Dia,18-junio-2026,18-junio-2026.1,18-junio-2026.2,18-junio-2026.3,18-junio-2026.4,18-junio-2026.5,18-junio-2026.6,18-junio-2026.7,18-junio-2026.8,18-junio-2026.9,18-junio-2026.10,18-junio-2026.11,18-junio-2026.12,18-junio-2026.13,18-junio-2026.14,18-junio-2026.15,18-junio-2026.16,18-junio-2026.17,18-junio-2026.18,18-junio-2026.19,18-junio-2026.20,18-junio-2026.21,18-junio-2026.22,18-junio-2026.23,18-junio-2026.24,18-junio-2026.25,18-junio-2026.26,18-junio-2026.27,18-junio-2026.28,18-junio-2026.29,18-junio-2026.30,18-junio-2026.31,18-junio-2026.32,18-junio-2026.33,18-junio-2026.34,18-junio-2026.35,18-junio-2026.36,18-junio-2026.37,18-junio-2026.38,18-junio-2026.39,18-junio-2026.40,18-junio-2026.41,18-junio-2026.42,18-junio-2026.43,18-junio-2026.44,18-junio-2026.45,18-junio-2026.46,18-junio-2026.47,18-junio-2026.48,18-junio-2026.49,18-junio-2026.50,18-junio-2026.51,18-junio-2026.52,18-junio-2026.53,18-junio-2026.54,18-junio-2026.55,18-junio-2026.56,18-junio-2026.57,18-junio-2026.58,18-junio-2026.59,18-junio-2026.60,18-junio-2026.61,18-junio-2026.62,18-junio-2026.63,18-junio-2026.64,18-junio-2026.65,18-junio-2026.66,18-junio-2026.67,18-junio-2026.68,18-junio-2026.69,18-junio-2026.70,18-junio-2026.71,18-junio-2026.72,18-junio-2026.73,18-junio-2026.74,18-junio-2026.75,18-junio-2026.76,18-junio-2026.77,18-junio-2026.78,18-junio-2026.79,18-junio-2026.80,18-junio-2026.81,18-junio-2026.82,18-junio-2026.83,18-junio-2026.84,18-junio-2026.85,18-junio-2026.86,18-junio-2026.87,18-junio-2026.88,18-junio-2026.89,18-junio-2026.90,18-junio-2026.91,18-junio-2026.92,18-junio-2026.93,18-junio-2026.94,18-junio-2026.95
,Hora,00-01,00-01,00-01,00-01,01-02,01-02,01-02,01-02,02-03,02-03,02-03,02-03,03-04,03-04,03-04,03-04,04-05,04-05,04-05,04-05,05-06,05-06,05-06,05-06,06-07,06-07,06-07,06-07,07-08,07-08,07-08,07-08,08-09,08-09,08-09,08-09,09-10,09-10,09-10,09-10,10-11,10-11,10-11,10-11,11-12,11-12,11-12,11-12,12-13,12-13,12-13,12-13,13-14,13-14,13-14,13-14,14-15,14-15,14-15,14-15,15-16,15-16,15-16,15-16,16-17,16-17,16-17,16-17,17-18,17-18,17-18,17-18,18-19,18-19,18-19,18-19,19-20,19-20,19-20,19-20,20-21,20-21,20-21,20-21,21-22,21-22,21-22,21-22,22-23,22-23,22-23,22-23,23-24,23-24,23-24,23-24
,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Unidad de Programación,Indicadores,Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€),Coste TG Periodo (€)
ALG3,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ARCOS3,,"250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00"
BAHIAB,,"1624,00","1624,00","1624,00","1624,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6350,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00","6041,00"
CTN3,,"250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00"
CTN4,,"2120,00","2120,00","2120,00","250,00","2120,00","2120,00","2120,00","2120,00","2121,00","2121,00","2121,00","2121,00","2123,00","2123,00","2123,00","2123,00","2123,00","2123,00","2123,00","2123,00","2124,00","2124,00","2124,00","2124,00","2125,00","2125,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00","250,00"
CTNU,,"4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00","4000,00"
ECT3,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
