Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Indicadores,€/MWh,€/MWh.1,€/MWh.2,€/MWh.3,€/MWh.4,€/MWh.5,€/MWh.6,€/MWh.7,€/MWh.8,€/MWh.9,€/MWh.10,€/MWh.11,€/MWh.12,€/MWh.13,€/MWh.14,€/MWh.15,€/MWh.16,€/MWh.17,€/MWh.18,€/MWh.19,€/MWh.20,€/MWh.21,€/MWh.22,€/MWh.23,€/MWh.24,€/MWh.25,€/MWh.26,€/MWh.27,€/MWh.28,€/MWh.29,€/MWh.30,€/MWh.31,€/MWh.32,€/MWh.33,€/MWh.34,€/MWh.35,€/MWh.36,€/MWh.37,€/MWh.38,€/MWh.39,€/MWh.40,€/MWh.41,€/MWh.42,€/MWh.43,€/MWh.44,€/MWh.45,€/MWh.46,€/MWh.47,€/MWh.48,€/MWh.49,€/MWh.50,€/MWh.51,€/MWh.52,€/MWh.53,€/MWh.54,€/MWh.55,€/MWh.56,€/MWh.57,€/MWh.58,€/MWh.59,€/MWh.60,€/MWh.61,€/MWh.62,€/MWh.63,€/MWh.64,€/MWh.65,€/MWh.66,€/MWh.67,€/MWh.68,€/MWh.69,€/MWh.70,€/MWh.71,€/MWh.72,€/MWh.73,€/MWh.74,€/MWh.75,€/MWh.76,€/MWh.77,€/MWh.78,€/MWh.79,€/MWh.80,€/MWh.81,€/MWh.82,€/MWh.83,€/MWh.84,€/MWh.85,€/MWh.86,€/MWh.87,€/MWh.88,€/MWh.89,€/MWh.90,€/MWh.91,€/MWh.92,€/MWh.93,€/MWh.94,€/MWh.95
,,,,,,Dia,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026,20-junio-2026
Redespacho,Sentido,Unidad de Programación,Tipo Oferta,Tipo cálculo,Signo de Energía,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
UPOTROR,Subir,ACE4,1,No aplica,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,46","188,46","188,46","188,46","188,46",,,,,,,,
UPOTROR,Subir,ACE4,1,Complejo,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,"338,00","338,00","338,00","338,00","338,00","338,00","338,00","338,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPOTROR,Subir,ALG3,1,Simple,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"179,74","173,79","173,79","173,79","179,74","160,67","160,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,61","207,89","218,80","249,10","309,71",,,,,,,,
UPOTROR,Subir,BES5,1,No aplica,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178,33","178,33","178,33","178,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPOTROR,Subir,BES5,1,Simple,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,"178,33","178,33","178,33","178,33","178,33","178,33","178,33","178,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPOTROR,Subir,CAMGI10,1,Complejo,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353,88","353,88","353,88","353,88","353,88","353,88","353,88","353,88",,,,,
UPOTROR,Subir,CTGN3,1,Complejo,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"318,87","318,87","318,87","318,87","318,87","318,87","318,87","318,87","318,87",,,,,
UPOTROR,Subir,ECT3,1,Simple,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,76","190,76","190,76","190,76","190,76","174,63","174,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
