Unidad Fisica,Inicio,Final,Indicadores,MW Disponib,Observaciones
ABO1,21/01/2026 20:40,31/12/2026 23:59,,"0,0",Permisos medioambientales AAI (AutorizaciÃ³n Ambiental Integrada)
AFAP,01/06/2026 00:01,30/06/2026 23:59,,"0,0",Indisponibilidad
AGU1B,24/06/2026 18:00,24/06/2026 18:14,,"0,0",Infactibilidad por funcionamiento en turbina
AGU2B,24/06/2026 15:30,24/06/2026 15:44,,"0,0",Infactibilidad operacional
AGU2B,24/06/2026 18:00,24/06/2026 18:14,,"0,0",Infactibilidad por funcionamiento en turbina
AGU3,24/06/2026 05:08,24/06/2026 06:20,,"0,0",Disparo
AGU3B,24/06/2026 18:00,24/06/2026 18:14,,"0,0",Infactibilidad por funcionamiento en turbina
AGU4B,24/06/2026 15:30,24/06/2026 15:44,,"0,0",Infactibilidad parada y arranque en un QH
AGU4B,24/06/2026 18:00,24/06/2026 18:14,,"0,0",Infactibilidad por funcionamiento en turbina
AL11,15/06/2026 11:37,02/07/2026 13:02,,"0,0",Inspeccion grupo y revision aparellaje 220 kV.
AL15,12/06/2026 10:00,18/09/2026 10:55,,"0,0",Reparacion trafo de potencia F-3.
AL22B,24/06/2026 13:30,24/06/2026 23:58,,"0,0","En secuencia de arrastre de la Bomba 2, el grupo de arrastre de Aldeadavila I c"
ALCARRA,01/01/2026 00:00,31/12/2026 23:58,,"0,0",Parada ante finalización de vida regulatoria
ALHEN1,06/05/2026 12:30,07/07/2026 10:09,,"28,4",theft
ANOIAEN,24/06/2026 00:00,24/06/2026 06:59,,"0,5",INDISPONIBILIDAD
ANOIAEN,24/06/2026 20:00,24/06/2026 23:59,,"0,5",INDISPONIBILIDAD
ARB1,24/06/2026 10:15,03/07/2026 17:59,,"0,0",Mantenimiento
ARB2,23/06/2026 15:00,24/06/2026 10:15,,"0,0",Mantenimiento continuacion
ARCOS2,12/04/2026 00:00,30/07/2026 13:14,,"0,0",Revision del sistema PCI+Desinfeccion Legionela+Revision TRAFOS Principales /Au
ARRU1,24/06/2026 18:05,24/06/2026 18:59,,"0,0",Disparo
ARRU1,24/06/2026 19:02,24/06/2026 20:14,,"0,0",Disparo
ARRU2,24/06/2026 18:07,24/06/2026 18:38,,"0,0",Disparo
ATORMES,24/06/2026 13:16,23/07/2026 10:29,,"3,0","Robo en Parque Eólico, imposibilidad de funcionamiento."
AZULIB,13/10/2024 13:00,31/12/2026 23:59,,"0,0",Indisponibilidad.
AZULMED,17/03/2026 10:00,30/06/2026 23:58,,"0,0",TURBINA AVERIADA
BABILA,21/05/2026 00:00,30/06/2026 23:58,,"0,0",GENERATOR FAILURE
