Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Dia,27-junio-2026,27-junio-2026.1,27-junio-2026.2,27-junio-2026.3,27-junio-2026.4,27-junio-2026.5,27-junio-2026.6,27-junio-2026.7,27-junio-2026.8,27-junio-2026.9,27-junio-2026.10,27-junio-2026.11,27-junio-2026.12,27-junio-2026.13,27-junio-2026.14,27-junio-2026.15,27-junio-2026.16,27-junio-2026.17,27-junio-2026.18,27-junio-2026.19,27-junio-2026.20,27-junio-2026.21,27-junio-2026.22,27-junio-2026.23,27-junio-2026.24,27-junio-2026.25,27-junio-2026.26,27-junio-2026.27,27-junio-2026.28,27-junio-2026.29,27-junio-2026.30,27-junio-2026.31,27-junio-2026.32,27-junio-2026.33,27-junio-2026.34,27-junio-2026.35,27-junio-2026.36,27-junio-2026.37,27-junio-2026.38,27-junio-2026.39,27-junio-2026.40,27-junio-2026.41,27-junio-2026.42,27-junio-2026.43,27-junio-2026.44,27-junio-2026.45,27-junio-2026.46,27-junio-2026.47,27-junio-2026.48,27-junio-2026.49,27-junio-2026.50,27-junio-2026.51,27-junio-2026.52,27-junio-2026.53,27-junio-2026.54,27-junio-2026.55,27-junio-2026.56,27-junio-2026.57,27-junio-2026.58,27-junio-2026.59,27-junio-2026.60,27-junio-2026.61,27-junio-2026.62,27-junio-2026.63,27-junio-2026.64,27-junio-2026.65,27-junio-2026.66,27-junio-2026.67,27-junio-2026.68,27-junio-2026.69,27-junio-2026.70,27-junio-2026.71,27-junio-2026.72,27-junio-2026.73,27-junio-2026.74,27-junio-2026.75,27-junio-2026.76,27-junio-2026.77,27-junio-2026.78,27-junio-2026.79,27-junio-2026.80,27-junio-2026.81,27-junio-2026.82,27-junio-2026.83,27-junio-2026.84,27-junio-2026.85,27-junio-2026.86,27-junio-2026.87,27-junio-2026.88,27-junio-2026.89,27-junio-2026.90,27-junio-2026.91,27-junio-2026.92,27-junio-2026.93,27-junio-2026.94,27-junio-2026.95,27-junio-2026.96,27-junio-2026.97,27-junio-2026.98,27-junio-2026.99,27-junio-2026.100,27-junio-2026.101,27-junio-2026.102,27-junio-2026.103,27-junio-2026.104,27-junio-2026.105,27-junio-2026.106,27-junio-2026.107,27-junio-2026.108,27-junio-2026.109,27-junio-2026.110,27-junio-2026.111,27-junio-2026.112,27-junio-2026.113,27-junio-2026.114,27-junio-2026.115,27-junio-2026.116,27-junio-2026.117,27-junio-2026.118,27-junio-2026.119,27-junio-2026.120,27-junio-2026.121,27-junio-2026.122,27-junio-2026.123,27-junio-2026.124,27-junio-2026.125,27-junio-2026.126,27-junio-2026.127,27-junio-2026.128,27-junio-2026.129,27-junio-2026.130,27-junio-2026.131,27-junio-2026.132,27-junio-2026.133,27-junio-2026.134,27-junio-2026.135,27-junio-2026.136,27-junio-2026.137,27-junio-2026.138,27-junio-2026.139,27-junio-2026.140,27-junio-2026.141,27-junio-2026.142,27-junio-2026.143,27-junio-2026.144,27-junio-2026.145,27-junio-2026.146,27-junio-2026.147,27-junio-2026.148,27-junio-2026.149,27-junio-2026.150,27-junio-2026.151,27-junio-2026.152,27-junio-2026.153,27-junio-2026.154,27-junio-2026.155,27-junio-2026.156,27-junio-2026.157,27-junio-2026.158,27-junio-2026.159,27-junio-2026.160,27-junio-2026.161,27-junio-2026.162,27-junio-2026.163,27-junio-2026.164,27-junio-2026.165,27-junio-2026.166,27-junio-2026.167,27-junio-2026.168,27-junio-2026.169,27-junio-2026.170,27-junio-2026.171,27-junio-2026.172,27-junio-2026.173,27-junio-2026.174,27-junio-2026.175,27-junio-2026.176,27-junio-2026.177,27-junio-2026.178,27-junio-2026.179,27-junio-2026.180,27-junio-2026.181,27-junio-2026.182,27-junio-2026.183,27-junio-2026.184,27-junio-2026.185,27-junio-2026.186,27-junio-2026.187,27-junio-2026.188,27-junio-2026.189,27-junio-2026.190,27-junio-2026.191
,,,,Cuarto de Hora del dia,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96
Sentido,Participante del Mercado,Bloque,Divisibilidad,Indicadores,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW,MW,€/MW
Subir,AC2,Blq. 1,Indivisible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,0","0,80","40,0","0,80","48,0","0,80","54,0","0,80","62,0","0,80","70,0","0,80","76,0","0,80","84,0","0,80","93,0","0,80","98,0","0,80","106,0","0,80","109,0","0,80","115,0","0,80","118,0","0,80","121,0","0,80","123,0","0,80","125,0","0,80","129,0","0,80","131,0","0,80","131,0","0,80","131,0","0,80",,,"124,0","1,90","118,0","9,60","112,0","18,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subir,ACC,Blq. 1,Indivisible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,0","57,23","35,0","58,77","34,0","58,52","34,0","59,28","35,0","58,52","35,0","58,58","34,0","59,61","35,0","58,83","34,0","59,87","35,0","59,06","34,0","60,03","35,0","59,15","35,0","59,15","35,0","59,17","34,0","60,10","35,0","59,17","35,0","59,06","34,0","59,95","35,0","58,43","35,0","58,37","34,0","59,27","35,0","58,99","35,0","58,45","34,0","59,19","34,0","59,02","35,0","57,96","34,0","58,63","35,0","57,40","35,0","57,00","35,0","56,57","35,0","56,04","34,0","56,15","34,0","55,62","35,0","54,48","35,0","54,24","34,0","54,75","35,0","54,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subir,AX2,Blq. 1,Indivisible,,"60,0","1,25","60,0","1,25","60,0","1,25","60,0","1,25","60,0","1,25","60,0","1,25","60,0","1,25","60,0","1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subir,BBE,Blq. 1,Divisible,,"62,0","23,22","62,0","21,17","62,0","18,59","62,0","15,92","62,0","19,36","62,0","17,54","62,0","16,22","62,0","14,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50","62,0","0,50"
Subir,CEP,Blq. 1,Divisible,,"38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","0,0","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0","0,00","0,0","0,00","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","38,0","0,25","0,0","0,00"
Subir,EBC,Blq. 1,Divisible,,"0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00","0,0","0,00"
Subir,ELB,Blq. 1,Divisible,,,,,,"150,0","0,00","150,0","0,00","150,0","0,00","150,0","0,00","150,0","0,00",,,,,,,"74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00","74,0","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subir,EN1,Blq. 1,Divisible,,"19,0","35,06","17,0","33,79","17,0","32,20","17,0","30,54","17,0","32,67","15,0","31,55","13,0","30,73","13,0","29,83","12,0","30,10","13,0","29,80","15,0","29,77","15,0","29,50","15,0","29,68","15,0","29,42","15,0","29,42","14,0","29,77","14,0","29,80","14,0","29,83","15,0","29,83","15,0","29,83","14,0","29,80","14,0","29,80","13,0","29,83","13,0","29,80","13,0","29,83","12,0","29,89","12,0","29,89","1,0","29,42","1,0","29,80","1,0","29,05","1,0","28,23","1,0","23,75","1,0","29,71","10,0","28,15","9,0","19,93","7,0","17,50","6,0","18,80","6,0","12,54","6,0","8,00","6,0","3,65","7,0","5,00","7,0","2,00","9,0","2,00","9,0","2,00","10,0","2,00","10,0","2,00","11,0","2,00","12,0","2,00","12,0","2,00","13,0","2,00","13,0","2,00","14,0","2,00","15,0","2,00","18,0","2,00","19,0","2,00","19,0","2,00","19,0","2,00","22,0","2,00","22,0","2,00","24,0","2,00","27,0","2,00","28,0","2,00","29,0","2,00","31,0","2,00","32,0","2,00","32,0","2,00","31,0","2,00","32,0","2,00","32,0","2,00","33,0","2,00","33,0","2,00","32,0","2,00","33,0","2,00","33,0","2,00","32,0","2,00","31,0","2,60","32,0","2,00","30,0","7,64","31,0","14,51","30,0","19,47","35,0","20,07","32,0","27,94","29,0","29,71","25,0","31,98","24,0","31,80","26,0","32,67","25,0","34,67","27,0","34,28","26,0","37,86","25,0","37,83","24,0","40,36","21,0","36,25","21,0","36,25","20,0","33,34","20,0","33,52","20,0","32,67"
