up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
AFALZ4C,UOF C BATERIA FVALZ,,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFALZ5C,UOF C BATERIA FVALZII,,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIANHC,UOF C BATERIA ANDEVAL,O,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIBGEC,ALMACENAMIENTO COMP,RA,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIBHEC,COMPRA HIBRIDACION EO,LICA BAT,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIBHFC,COMPRA HIBRIDACION FV,BATERIA,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIOLHC,UOF C BATERIA OLMEDILL,A,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIREHC,UOF C BATERIA REVILLA,,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
AFIROHC,HIB ROMERAL OLMEDILLA,,IBERDROLA ENERGÍA,ESPAÑA,S..A.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
ASRIHCC,UNIDAD OFERTA BATERIA,SOTO,"EDP ESPAÑA, S.A.U. (",GENERAC,IÓN),100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
EGEDBAT,COMPRA BATERIA,,ACCIONA GREEN ENE,RGY DEV,ELOPMENTS,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
EGLARMC,UNIDADE CARREGAMENT,O,"AXPO IBERIA, S.L.",,,100 ALMACENAMIENTO ZONA PORTUGUESA Almacenamiento Compra,1
FHERCON,HIB HERCULES CONSUMO,,SOLARIA REPRESENT,ACION E,N MERCADO S.L.,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
IGNARMC,IGNIS COMPRA PT,,IGNIS ENERGIA S.L.,,,100 ALMACENAMIENTO ZONA PORTUGUESA Almacenamiento Compra,1
SMBC02,COMPRA BATERIA BATALH,A,SIMPLES ENERGIA DE,ESPAÑA,SL,100 ALMACENAMIENTO ZONA PORTUGUESA Almacenamiento Compra,1
UPACAC,UOF ACADIEMS COMPRA,,IGNIS ENERGIA S.L.,,,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
UPXENC,UPXENC,,GNERA ENERGIA Y TE,CNOLOG,IA,100 ALMACENAMIENTO ZONA ESPAÑOLA Almacenamiento Compra,1
ACAVADB,BOMBAS DO CAVADO,,EDP GEM PORTUGAL,S.A.,,100 BOMBEO ZONA PORTUGUESA Consumo Bombe o Mixto,1
ADOUROB,BOMBA DO DOURO,,EDP GEM PORTUGAL,S.A.,,100 BOMBEO ZONA PORTUGUESA Consumo Bombe o Mixto,1
AGUB,C.H.B. AGUAYO BOMBEO,,REPSOL SERVICIOS R,ENOVAB,"LES, S.A.",100 BOMBEO ZONA ESPAÑOLA Consumo de bom beo,1
