codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,potencia_maxima_mw,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up
3PINOS,18W0000000004ZX6,3PINOS,3PINOS - VELA,"6,0",Solar fotovoltaica,GNRA,UPBLAN
3VILLAS,18W3VILLAS-123-5,3VILLAS,PARQUE EÓLICO TRES VILLAS,"49,5",Eólica terrestre,CEG,EUW3VIL
4CAM1,18W000000000RO29,4CAMINOS1,CUATROCAMINOS1,"6,2",Solar fotovoltaica,ADXRE,FAUDAX
4CAM2,18W000000000RO37,4CAMINOS2,CUATROCAMINOS2,"6,2",Solar fotovoltaica,ADXRE,FAUDAX
4CAM3,18W000000000RO45,4CAMINOS3,CUATROCAMINOS4,"3,7",Solar fotovoltaica,ADXRE,FAUDAX
4CAM4,18W000000000RO53,CUATROCAM4,CUATROCAM4,"3,7",Solar fotovoltaica,ADXRE,FAUDAX
98D-481,18W98D-481-123-M,98D-481,TORRAS PAPEL-MONTAÑESA,"23,6",Gas natural cogeneración,NEXU,TTFTPZG
98FUTUR,18W98FUTUR-123-W,98FUTUR,UF 98FUTUR,"1,5",Solar fotovoltaica,EFG,FGEFG
ABA1,18WABA1-12345-AJ,ABARAN 1,ABARAN 1,"0,3",Fluyente,BARER,ABA1
ABA2,18WABA2-12345-A9,ABARAN 2,ABARAN 2,"0,4",Fluyente,BARER,ABA2
ABADC,18W000000000N8TJ,ABADC,ABADIÑO COMPRA,"6,8",Batería electroquímica,IBGES,AFIBGEC
ABADV,18W000000000N8UH,ABADV,BATERIAS ABADIÑO,"6,8",Batería electroquímica,IBGES,AFIBGEV
ABARA,18WABARA-12345-Z,ABARA,P.E E. ABARA,"6,0",Eólica terrestre,EGED,EABARA
ABASC01,18W000000000JLUV,UPC ABAST,UP COMPRA ABASTE,"1,0",Comercializadores mercado libre,ABAST,ABASC01
ABELLA,18W000000000FFGJ,ABELLA,18W000000000FFGJ,"15,0",Eólica terrestre,EGLE,EINVER
ABENOJA,18W000000000R5QI,ABENOJA,ABENOJAR,"5,0",Solar fotovoltaica,NEXU,FABENOJ
ABJEREZ,18W000000000TF4O,JEREZ,JEREZ,"23,0",Solar fotovoltaica,SHEEN,SHEPV29
ABNIX,18W000000000SJFV,ABNIX,ABNIX,"1,8",Solar fotovoltaica,GNRA,FVGNRA
ABO1,18WABO1-12345-D7,ABOÑO 1,ABOÑO (G.1),"341,7",Hulla antracita,ABOGE,ABO1
ABO2,18WABO2-12345-DY,ABOÑO 2,ABOÑO (G.2),"561,8",Turbina vapor - Fuel gas,ABOGE,ABO2G
ABOUC01,18W-ABOUC01-3--H,ABOUTWHI,"ABOUT WHITE, S.L.","0,1",Comercializadores mercado libre,ABOUT,ABOUC01
ABOX,18W000000000T21W,ABOX,COMPRA SSAA ABOÑO,"30,0",Consumo de Servicios Auxiliares,ABOGE,ABOX
AC86BA,18W000000000OT8V,AC86BA,AC86BA,"1,0",Comercializadores mercado libre,FORTI,FORTR01
ACAIX,18W000000000TVUZ,ACAIX,ACAIX,"2,0",Solar fotovoltaica,GNRA,UPSON4
ACAMP,18WACAMP-12345-C,ACAMP,P.E. CAMPO ARIAS,"48,0",Eólica terrestre,HC G,HCGSIHA
