up_code,up_name,subject_code,technology_esios
A2GAME2,A2GAME2,AME,Energía residual
ABA1,ABA1,BARER,Hidráulica UGH
ABA2,ABA2,BARER,Hidráulica UGH
ABASC01,UPC ABAST,ABAST,Comercializadores mercado libre
ABO1,ABOÑO 1,ABOGE,Hulla antracita
ABO2G,ABO2G,ABOGE,Gas Natural
ABOUC01,ABOUTWHI,ABOUT,Comercializadores mercado libre
ABOX,ABOX,ABOGE,Consumo de Servicios Auxiliares
ACAPC01,ACAPERSA,ACAPE,Consumos directos en mercado
ACBFRAE,ACBFRA EXP,REE,Unidad instrumental internacional
ACBFRAI,ACBFRA IMP,REE,Unidad instrumental internacional
ACBPORE,ACBPOR EXP,REE,Unidad instrumental internacional
ACBPORI,ACBPOR IMP,REE,Unidad instrumental internacional
ACE3,ACECA 3 IB,IBGT,Ciclo Combinado
ACE4,ACECA 4 UF,GNCC,Ciclo Combinado
ACENC01,ACENORCA,ACENO,Consumos directos en mercado
ACHEC01,CHERA,ACHER,Comercializadores mercado libre
ACNHC01,ACNHC01,ACENH,Comercializadores mercado libre
ACOSC01,ACOSC01,ACOST,Comercializadores mercado libre
ACSOC01,ACSOL,ACSOL,Comercializadores mercado libre
ACTIC01,ACTIC01UN1,ACTIV,Comercializadores mercado libre
ADEIC01,ADEINNOVA,ADEIN,Comercializadores mercado libre
ADEIV01,ADEIV01,ADEIN,Solar fotovoltaica
ADELC01,ADELFAS,ADELF,Comercializadores mercado libre
ADSEC01,ADSEC01,ADSSM,Comercializadores mercado libre
