omie_page,omie_y,up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,ownership_pct_numeric
1,141.133,AFALZ4C,UOF C BATERIA FVALZ,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,148.453,AFALZ5C,UOF C BATERIA FVALZII,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,155.773,AFIANHC,UOF C BATERIA ANDEVALO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,163.093,AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,170.413,AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,177.733,AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,185.093,AFIOLHC,UOF C BATERIA OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,192.373,AFIREHC,UOF C BATERIA REVILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,199.693,AFIROHC,HIB ROMERAL OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,207.093,ASRIHCC,UNIDAD OFERTA BATERIA SOTO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,214.333,EGEDBAT,COMPRA BATERIA,ACCIONA GREEN ENERGY DEVELOPMENTS,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,221.653,EGLARMC,UNIDADE CARREGAMENTO,"AXPO IBERIA, S.L.",100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,228.973,FHERCON,HIB HERCULES CONSUMO,SOLARIA REPRESENTACION EN MERCADO S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,236.293,IGNARMC,IGNIS COMPRA PT,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,243.613,SMBC02,COMPRA BATERIA BATALHA,SIMPLES ENERGIA DE ESPAÑA SL,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,250.933,UPACAC,UOF ACADIEMS COMPRA,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,258.253,UPXENC,UPXENC,GNERA ENERGIA Y TECNOLOGIA,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,265.573,ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,272.893,ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,280.213,AGUB,C.H.B. AGUAYO BOMBEO,"REPSOL SERVICIOS RENOVABLES, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,287.533,ALIMAB,BOMBAS DO LIMA,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,294.853,BRENAB,UNIDAD OFERTA BOMBEO BREÑA 2,IGNIS ENERGIA S.L.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,302.173,DOUSUPB,DOURO SUPERIOR BOMBAGEM,MOVHERA - HIDROELÉTRICAS DO NORTE SA,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,309.493,DUEB,UGH.B. DUERO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,316.813,ENDPRB,C.H.B.M. MONTAMARA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,324.133,GDLQB,GUADALQUIVIR BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,331.453,GUADIAB,BACIA H. GUADIANA (BOMBAGEM),EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,338.773,GUIB,C.H.B. GUILLENA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,346.093,IPB,C.H.B.IP BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,353.413,MLTB,C.H.B. MORALETS BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,360.733,MONDEGB,BOMBEO DA AREA DE MONDEGO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,368.093,MUEB,C.H.B. LA MUELA BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,375.373,SILB,UGH.B. SIL BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,382.693,SLTB,UGH.B. ESTANG. SALLENTE BOMB.,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,390.093,TAJB,UGH.B. TAJO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,397.333,TAMEGAB,TAMEGAB,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,404.653,TANB,C.H.B. TANES BOMBEO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,411.973,TJEB,C.H. B. TAJO ENCANTADA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,419.293,UFBB,C.H.B. BOLARQUE BOMBEO,GAS NATURAL COMERCIALIZADORA,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,426.613,ABASC01,UOF COMPRA ABASTE,ABASTE COMERCIALIZADORA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,433.933,ABOUC01,ABOUT WHITE,"ABOUT WHITE, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,441.253,ACCGC02,UNIDAD DE COMPRA,"ACCIONA GREEN, SUCURSAL PT",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,448.573,ACHEC01,ACHER COMPRA,"ELECTRICA DE CHERA, S.C.V.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,455.893,ACNHC01,COMPRA,ACENHOL ENERGIA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,463.213,ACOSC01,UNIDAD DE OFERTA,ACOS T IBERICA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,470.533,ACRSC02,COMERCIALIZAÇÃO,"ACROSSCAPACITY, LDA",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,477.853,ACSOC01,ACSOL,"ACSOL ENERGIA GLOBAL, S.A.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,485.173,ACTIC01,UNIDAD PARA OFERTAS DE COMPRA,ACTIVA COMERCIALIZADORA DE ENERGIA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,492.493,ADEIC01,ADEINNOVA ENERGIA,ADEINNOVA ENERGIA,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,499.813,ADELC01,ADELFAS COMPRAS,ADELFAS ENERGIA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,507.133,ADREC02,AUDAX COMPRA PORTUGAL,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,514.453,ADURC01,ADURIZ ENERGÍA COMPRA (ESP),ADURIZ ENERGÍA SLU,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,521.773,ADXC01,ADX RENOVABLES,ADX RENOVABLES SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,529.093,ADXRM01,REPRE COMER 1,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,536.413,ADXRM02,REPRE COMER 2,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,543.733,ADXRM03,REPRE COMER 3,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,551.093,ADXRM04,ADS RPRE COMER 4,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,558.373,ADXRM06,REPRE COMER 6,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,141.133,ADXRM07,REPRE COMER 07,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,148.453,ADXRM08,REPRE COMER 8,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,155.773,ADXRM09,REPRE COMER 9,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,163.093,ADXRM10,ECO2,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,170.413,ADXRM11,FEED ENERGÍA,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,177.733,AEQC01,COMERCIALIZACIÓN AEQ,"AEQ W2M, S.A.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,185.093,AGENC01,ABESL COMPRA,"AB ENERGÍA 1903, S.L.U.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,192.373,AGLC02,UNIDADE DE COMPRA,AGORALUZ ENERGIA LDA,100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
2,199.693,AGRIC01,AGRI ENERGIA COMPRA (ESP),AGRI-ENERGÍA,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,207.093,AHORC01,AHORA PENINSULA,AHORA LUZ ENERGÍA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,214.333,AHTC01,COMPRA COMER,"COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,221.653,AIREC01,AIREC01,AIRE LIMPIO S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
