uf_code,uf_name,up_code,subject_code,technology_esios
3PINOS,3PINOS,UPBLAN,GNRA,Solar fotovoltaica
3VILLAS,3VILLAS,EUW3VIL,CEG,Eólica terrestre
4CAM1,4CAMINOS1,FAUDAX,ADXRE,Solar fotovoltaica
4CAM2,4CAMINOS2,FAUDAX,ADXRE,Solar fotovoltaica
4CAM3,4CAMINOS3,FAUDAX,ADXRE,Solar fotovoltaica
4CAM4,CUATROCAM4,FAUDAX,ADXRE,Solar fotovoltaica
98D-481,98D-481,TTFTPZG,NEXU,Gas natural cogeneración
98FUTUR,98FUTUR,FGEFG,EFG,Solar fotovoltaica
ABA1,ABARAN 1,ABA1,BARER,Fluyente
ABA2,ABARAN 2,ABA2,BARER,Fluyente
ABADC,ABADC,AFIBGEC,IBGES,Batería electroquímica
ABADV,ABADV,AFIBGEV,IBGES,Batería electroquímica
ABARA,ABARA,EABARA,EGED,Eólica terrestre
ABASC01,UPC ABAST,ABASC01,ABAST,Comercializadores mercado libre
ABELLA,ABELLA,EINVER,EGLE,Eólica terrestre
ABENOJA,ABENOJA,FABENOJ,NEXU,Solar fotovoltaica
ABJEREZ,JEREZ,SHEPV29,SHEEN,Solar fotovoltaica
ABNIX,ABNIX,FVGNRA,GNRA,Solar fotovoltaica
ABO1,ABOÑO 1,ABO1,ABOGE,Hulla antracita
ABO2,ABOÑO 2,ABO2G,ABOGE,Turbina vapor - Fuel gas
ABOUC01,ABOUTWHI,ABOUC01,ABOUT,Comercializadores mercado libre
ABOX,ABOX,ABOX,ABOGE,Consumo de Servicios Auxiliares
AC86BA,AC86BA,FORTR01,FORTI,Comercializadores mercado libre
ACAIX,ACAIX,UPSON4,GNRA,Solar fotovoltaica
ACAMP,ACAMP,HCGSIHA,HC G,Eólica terrestre
ACAMPOH,ACAMPO,EEGPEM,ECYR,Eólica terrestre
ACAPC01,ACAPC01,ACAPC01,ACAPE,Consumos directos en mercado
ACASIL1,ACASIL1,EEGPEV,ECYR,Eólica terrestre
ACASIL2,ACASIL2,EEGPES,ECYR,Eólica terrestre
ACC1,ACECA H 1,TAJO,IBEG,Fluyente
ACC2,ACECA H 2,TAJO,IBEG,Fluyente
ACC3,ACECA H 3,TAJO,IBEG,Fluyente
ACE3,ACECA 3,ACE3,IBGT,Ciclo combinado
ACE4,ACECA4,ACE4,GNCC,Ciclo combinado
ACEBO,ACEBO,HCGSCSA,HC G,Eólica terrestre
ACEGUAD,ACEGUAD,TLARODA,GNRA,Gas natural cogeneración
ACENC01,ACENORCA,ACENC01,ACENO,Consumos directos en mercado
ACHEC01,CHERA,ACHEC01,ACHER,Comercializadores mercado libre
ACIBERO,ACIBERO,EACIBER,WMARK,Eólica terrestre
ACINF,ACINF,UPEJO,GNRA,Solar fotovoltaica
ACNHC01,ACNHC01,ACNHC01,ACENH,Comercializadores mercado libre
ACOLLAR,ACOLLAR,FCOLLAR,NEXU,Solar fotovoltaica
ACOSC01,ACOSC01,ACOSC01,ACOST,Comercializadores mercado libre
ACR1,AC.VEGA 1,DUER,IBEG,Fluyente
ACR2,AC.VEGA 2,DUER,IBEG,Fluyente
ACSOC01,ACSOL,ACSOC01,ACSOL,Comercializadores mercado libre
ACTIC01,ACTIC01UN1,ACTIC01,ACTIV,Comercializadores mercado libre
ACUADRA,ACUADRA,EFEGEL2,EGED,Eólica terrestre
ACUAVIR,ACUAVIR,HACUAVI,IGNIS,Embalse
ADEIC01,ADEINNOVA,ADEIC01,ADEIN,Comercializadores mercado libre
ADEIV01,FYNEXU,ADEIV01,ADEIN,Solar fotovoltaica
ADELC01,ADELFAS,ADELC01,ADELF,Comercializadores mercado libre
ADRANO,ADRANO,EADRAG,EGED,Eólica terrestre
ADSEC01,ADSEC01,ADSEC01,ADSSM,Comercializadores mercado libre
ADSNC01,ADS,ADSNC01,ADSEN,Comercializadores mercado libre
ADURC01,ADURC01,ADURC01,ADUR,Comercializadores mercado libre
ADXC01,ADXC01,ADXC01,ADXRA,Comercializadores mercado libre
AEIDG87,AEIDG87,AEIDGEN,WMARK,Eólica terrestre
AEIDG90,AEIDG90,AEIDGEN,WMARK,Eólica terrestre
AENEC01,AVAENERC,AENEC01,AENER,Comercializadores mercado libre
AEQC01,AEQ,AEQC01,AEQ,Comercializadores mercado libre
AEROGEN,AEROGEN,EENRES,EGLE,Eólica terrestre
AFAP,AFAP,RAFAP,EGLE,Biomasa
AFRICNA,AFRICNA,TAFRICA,GESTE,Solar térmica
AFRODI1,AFRODI1,FVAFROD,WMARK,Solar fotovoltaica
AG41AG,AG41AG,FORTR01,FORTI,Comercializadores mercado libre
AGA1,AGUILA 1,EBRA,IBEG,Fluyente
AGA2,AGUILA 2,EBRA,IBEG,Fluyente
AGALGPA,AGALGPA,ROLEIC,EGLE,Biomasa
AGALMZ,AGALMZ,ENDER01,ENDCO,Comercializadores mercado libre
AGATC,AGATC,UPAGA,GNRA,Solar fotovoltaica
AGBAENA,AGBAENA,ROLEIC,EGLE,Biomasa
AGBARS,AGBARS,ENDER01,ENDCO,Comercializadores mercado libre
AGBTC,AGBTC,UPAGB,GNRA,Solar fotovoltaica
AGEAG,AGEAG,UPAGE,GNRA,Solar fotovoltaica
AGENC01,AGENC01,AGENC01,ABESL,Comercializadores mercado libre
AGENORR,AGENR,FAGENOR,GNRA,Solar fotovoltaica
AGESRAD,AGESRAD,ENEIR01,ENEFI,Comercializadores mercado libre
AGL1,AGUILAR 1,VIES,REPSB,Embalse
AGL2,AGUILAR 2,VIES,REPSB,Embalse
AGM1,AIGUAMOIX,EBRFEN,ENDG,Embalse
AGMAC01,AGMARQUES,AGMAC01,AGMA,Consumos directos en mercado
AGON2,AGON2,EAGON2,CEG,Eólica terrestre
AGREDA,AGREDA,EREGPEM,ECYR,Eólica terrestre
AGRIC01,AGRIC01,AGRIC01,AGREN,Comercializadores mercado libre
AGROBO1,AGROBO1,FAGROB1,NEXU,Solar fotovoltaica
AGROBO2,AGROBO2,FAGROB2,NEXU,Solar fotovoltaica
AGROBO3,AGROBO3,FAGROB3,NEXU,Solar fotovoltaica
AGRSRAD,AGRSRAD,ENDER01,ENDCO,Comercializadores mercado libre
AGU1,AGUAYO 1 G,AGUG,REPSB,Turbinación bombeo
AGU1B,AGUAYO 1 B,AGUB,REPSB,Consumo bombeo
AGU2,AGUAYO 2 G,AGUG,REPSB,Turbinación bombeo
AGU2B,AGUAYO 2 B,AGUB,REPSB,Consumo bombeo
AGU3,AGUAYO 3 G,AGUG,REPSB,Turbinación bombeo
AGU3B,AGUAYO 3 B,AGUB,REPSB,Consumo bombeo
AGU4,AGUAYO 4 G,AGUG,REPSB,Turbinación bombeo
AGU4B,AGUAYO 4 B,AGUB,REPSB,Consumo bombeo
AGUALLA,AGUALLA,EGREEN,EGED,Eólica terrestre
AGUDO,AGUDO,FAGUDO,NEXU,Solar fotovoltaica
AGUERAS,AGUERAS,HYAGUER,DETIC,Hidráulica - No UGH
AGUILA,AGUILA,EHIBAGI,NEXU,Híbrida Renovable
AGUILAR,AGUILAR,EGREEN,EGED,Eólica terrestre
AGUILI,AGUILI,EHIBAGL,NEXU,Híbrida Renovable
AGUILON,AGUILON,EREGPES,ECYR,Eólica terrestre
AGUIR,AGUIR,FVGNRA,GNRA,Solar fotovoltaica
AGURDA,AGURDA,ENDER01,ENDCO,Comercializadores mercado libre
AGV1,AGAVANZA 1,DUER,IBEG,Embalse
AGV2,AGAVANZA 2,DUER,IBEG,Embalse
AGV3,AGAVANZA 3,DUER,IBEG,Embalse
AHORC01,AHORA PEN,AHORC01,ALENE,Comercializadores mercado libre
AHTC01,AHTC01,AHTC01,COMED,Comercializadores mercado libre
AI83CB,AI83CB,FORTR01,FORTI,Comercializadores mercado libre
AIADHES,AIADHES,COGAIAD,DETIC,Gas natural cogeneración
AIBAR,AIBAR,EGREEN,EGED,Eólica terrestre
AIELO,AIELO,FAIELO,NEXU,Solar fotovoltaica
AIRAS,PE AIRAS,SHEPV34,SHEEN,Eólica terrestre
AIREC01,AIREL,AIREC01,AIREL,Comercializadores mercado libre
AIREV01,AIREV01,AIREV01,AIREL,Solar fotovoltaica
AITGN,AITGN,HABGN,GNRA,Solar fotovoltaica
AITONA,AITONA,HESEGRE,EGED,Fluyente
AIZEC01,UP AIZEN,AIZEC01,AIZEE,Comercializadores mercado libre
AIZKIB,AIZKIB,EGREEN,EGED,Eólica terrestre
AJENC01,AJENC01,AJENC01,AJENE,Comercializadores mercado libre
AL11,ALDEA I G1,DUER,IBEG,Embalse
AL12,ALDEA I G2,DUER,IBEG,Embalse
AL13,ALDEA I G3,DUER,IBEG,Embalse
AL14,ALDEA I G4,DUER,IBEG,Embalse
AL15,ALDEA I G5,DUER,IBEG,Embalse
AL16,ALDEA I G6,DUER,IBEG,Embalse
