codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
A2GAME2,A2GAME2,A2GAME2,18W000000000R205,Energía residual,Venta,España,SZR,Generación,AME,"3,8"
ABA1,ABA1,ABARAN,18WABA1-123456-K,Hidráulica UGH,Venta,España,SZR,Generación,BARER,"0,3"
ABA2,ABA2,ABARAN 2,18WABA2-123456-A,Hidráulica UGH,Venta,España,SZR,Generación,BARER,"0,4"
ABASC01,UPC ABAST,UP COMPRA ABASTE,18W000000000G8RE,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ABAST,"1,0"
ABO1,ABOÑO 1,C.T. ABOÑO 1,18WABO1-12345-0X,Hulla antracita,Venta,España,SZR,Generación,ABOGE,"341,7"
ABO2G,ABO2G,ABOÑO2 GAS,18W000000000T2JX,Gas Natural,Venta,España,SZR,Generación,ABOGE,"561,8"
ABOUC01,ABOUTWHI,"ABOUT WHITE, S.L.",18WABOUC01-123-F,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ABOUT,"0,1"
ABOX,ABOX,COMPRA SSAA ABOÑO,18W000000000R1YE,Consumo de Servicios Auxiliares,Compra,España,SZR,Servicios auxiliares,ABOGE,"30,0"
ACAPC01,ACAPERSA,ACAPERSA 1997,18W000000000MBVA,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,ACAPE,"0,8"
ACBFRAE,ACBFRA EXP,ACCIÓN COORDINADA DE BALANCE ES A FR,18WACBFRAE-12--2,Unidad instrumental internacional,Compra,Francia-España,SZR,Unidad instrumental internacional,REE,"9.999,0"
ACBFRAI,ACBFRA IMP,ACCIÓN COORDINADA DE BALANCE FR A ES,18WACBFRAI-12--B,Unidad instrumental internacional,Venta,Francia-España,SZR,Unidad instrumental internacional,REE,"9.999,0"
ACBPORE,ACBPOR EXP,ACCIÓN COORDINADA DE BALANCE ES A PT,18WACBPORE-123-3,Unidad instrumental internacional,Compra,Portugal-España,SZR,Unidad instrumental internacional,REE,"9.999,0"
ACBPORI,ACBPOR IMP,ACCIÓN COORDINADA DE BALANCE PT A ES,18WACBPORI-123-C,Unidad instrumental internacional,Venta,Portugal-España,SZR,Unidad instrumental internacional,REE,"9.999,0"
ACE3,ACECA 3 IB,C. C. ACECA 3,18WACE3-12345-00,Ciclo Combinado,Venta,España,IBEG ,Generación,IBGT,"386,0"
ACE4,ACECA 4 UF,C. C. ACECA 4,18WACE4-12345-0R,Ciclo Combinado,Venta,España,NTG ,Generación,GNCC,"372,6"
ACENC01,ACENORCA,ACENORCA,18WACENORCA-SCLW,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,ACENO,"0,9"
ACHEC01,CHERA,ELECTRICA DE CHERA,18WACHEC01-123-I,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ACHER,"1,4"
ACNHC01,ACNHC01,UP COMPRA,18W000000000NQNE,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ACENH,"0,0"
ACOSC01,ACOSC01,ACOSC01,18W000000000V1SA,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ACOST,"0,1"
ACSOC01,ACSOL,ACSOL ENERGIA GLOBAL,18W0000000001YAU,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ACSOL,"0,1"
ACTIC01,ACTIC01UN1,ACTIVA UPROG COMER 1,18W000000000GE8Y,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ACTIV,"100,0"
ADEIC01,ADEINNOVA,ADEINNOVA ENERGIA S.L,18WADEIC01-12--B,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADEIN,"0,5"
ADEIV01,ADEIV01,ADEINNOVA VENTA,18W000000000S0AO,Solar fotovoltaica,Venta,España,SZR,Generación,ADEIN,"0,3"
ADELC01,ADELFAS,ADELFAS ENERGIA SL,18WADELC01-123-6,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADELF,"4,0"
ADSEC01,ADSEC01,ADSEC01,18WADSEC01-123-X,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADSSM,"16,0"
ADSNC01,ADS,ADS SOLUTIONS,18W000000000JBUO,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADSEN,"1,0"
ADURC01,ADURIZ E,ADURIZ ENERGIA SL (COMERCIALIZADORA),18WADURC01-123-T,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADUR,"0,0"
ADXC01,ADXC01,ADX RENOVABLES,18W000000000P85M,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ADXRA,"0,1"
AE10COG,AE10COG,ALTA EFICIENCIA 10 COG,18W000000000ODT0,Gas Natural Cogeneración,Venta,España,SZR,Generación,COGEN,"11,9"
AE11COG,AE11COG,ALTA EFICIENCIA 11 COG,18W000000000OSAU,Gas Natural Cogeneración,Venta,España,SZR,Generación,COGEN,"3,5"
AE12COG,AE12COG,ALTA EFICIENCIA 12COG,18W000000000OSIE,Gas Natural Cogeneración,Venta,España,SZR,Generación,COGEN,"5,3"
AEIDGEN,AEROGENERA,AEROGENERADOR,18W000000000TEH1,Eólica terrestre,Venta,España,SZR,Generación,WMARK,"4,0"
AENEC01,AVAENERC,AVALIA ENERGIA UP,18WAENEC01-123-2,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,AENER,"40,0"
AEQC01,AEQ,AEQ COMER,18W000000000SPNY,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,AEQ,"1,0"
AFALZ4C,AFALZ4C,UP COMPRA BAT FVALZ,18W000000000UWSW,Almacenamiento,Compra,España,SZR,Unidades de almacenamiento,IBGES,"25,8"
AFALZ5C,AFALZ5C,BAT ALZII UP COMPRA,18W000000000UWTU,Almacenamiento,Compra,España,SZR,Unidades de almacenamiento,IBGES,"25,8"
AFIANHC,AFIANHC,UP COMPRA BATERIA ANDEVAL,18W000000000UOUF,Almacenamiento,Compra,España,SZR,Unidades de almacenamiento,IBGES,"26,0"
AFIBGEC,AFIBGEC,ALMACENAMIENTO COMPRA,18W000000000NL3W,Almacenamiento,Compra,España,IBEG ,Unidades de almacenamiento,IBGES,"6,8"
