up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
A2GAME2,A2GAME2,AGENTE DEL MERCADO ELECTRICO,,,,,1,Energía residual,,,1.0,DOY,DOY,AME,eSIOS UP + OMIE exact code + eSIOS UF,
AAXRCTI,AXPO IBERIA R. CENTRO INTERIOR,"AXPO IBERIA, S.L.",Axpo,verified_corporate,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.axpo.com/es/es/about-us/axpo-iberia.html
AAXRGDL,AREA DE REDE DA GRANDE LISBOA,"AXPO IBERIA, S.L.",Axpo,verified_corporate,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.axpo.com/es/es/about-us/axpo-iberia.html
AAXRSUL,AXPO IBERIA R.SUL,"AXPO IBERIA, S.L.",Axpo,verified_corporate,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.axpo.com/es/es/about-us/axpo-iberia.html
ABA1,ABA1,WIND TO MARKET (ACT.: COMERCIALIZACIÓN RE),,,100,100.0,1,Hidráulica UGH,GENERACION,ZONA ESPAÑOLA,1.0,ABA1,ABARAN 1,BARER,eSIOS UP + OMIE exact code + eSIOS UF,
ABA2,ABA2,WIND TO MARKET (ACT.: COMERCIALIZACIÓN RE),,,100,100.0,1,Hidráulica UGH,GENERACION,ZONA ESPAÑOLA,1.0,ABA2,ABARAN 2,BARER,eSIOS UP + OMIE exact code + eSIOS UF,
ABASC01,UPC ABAST,ABASTE COMERCIALIZADORA S.L.,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ABASC01,UPC ABAST,ABAST,eSIOS UP + OMIE exact code + eSIOS UF,
ABO1,ABOÑO 1,ABOÑO GENERACIONES ELECTRICAS SLU,,,100,100.0,1,Hulla antracita,GENERACION,ZONA ESPAÑOLA,1.0,ABO1,ABOÑO 1,ABOGE,eSIOS UP + OMIE exact code + eSIOS UF,
ABO2G,ABO2G,ABOÑO GENERACIONES ELECTRICAS SLU,,,100,100.0,1,Gas Natural,GENERACION,ZONA ESPAÑOLA,1.0,ABO2,ABOÑO 2,ABOGE,eSIOS UP + OMIE exact code + eSIOS UF,
ABOUC01,ABOUTWHI,"ABOUT WHITE, S.L.",,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ABOUC01,ABOUTWHI,ABOUT,eSIOS UP + OMIE exact code + eSIOS UF,
ABOX,ABOX,ABOÑO GENERACIONES ELECTRICAS SLU,,,100,100.0,1,Consumo de Servicios Auxiliares,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,1.0,ABOX,ABOX,ABOGE,eSIOS UP + OMIE exact code + eSIOS UF,
ACAPC01,ACAPERSA,ACAPERSA 1997 SL,,,100,100.0,1,Consumos directos en mercado,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,1.0,ACAPC01,ACAPC01,ACAPE,eSIOS UP + OMIE exact code + eSIOS UF,
ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Consumo Bombeo Mixto,BOMBEO,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
ACAVADO,CAVADO,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Hidráulica Generación,GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
ACBFRAE,ACBFRA EXP,"RED ELECTRICA DE ESPAÑA, S.A.U.",,,100,100.0,1,Unidad instrumental internacional,CONTRATO INTERNACIONAL,FRONTERA FRANCIA,,,,REE,eSIOS UP + OMIE exact code,
ACBFRAI,ACBFRA IMP,"RED ELECTRICA DE ESPAÑA, S.A.U.",,,100,100.0,1,Unidad instrumental internacional,CONTRATO INTERNACIONAL,FRONTERA FRANCIA,,,,REE,eSIOS UP + OMIE exact code,
ACBPORE,ACBPOR EXP,"RED ELECTRICA DE ESPAÑA, S.A.U.",,,100,100.0,1,Unidad instrumental internacional,CONTRATO INTERNACIONAL,ZONA ESPAÑOLA,,,,REE,eSIOS UP + OMIE exact code,
ACBPORI,ACBPOR IMP,"RED ELECTRICA DE ESPAÑA, S.A.U.",,,100,100.0,1,Unidad instrumental internacional,CONTRATO INTERNACIONAL,ZONA ESPAÑOLA,,,,REE,eSIOS UP + OMIE exact code,
ACC1EBR,AC.GREEN EN. DEV. VENTA RO 1,"ENDESA GENERACIÓN, S.A.",Endesa,derived_from_legal_name,100,100.0,1,Hidráulica Generación,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.endesa.com/
ACC2EBR,AC. GREEN EN. DEV. VENTA RO2,"ENDESA GENERACIÓN, S.A.",Endesa,derived_from_legal_name,100,100.0,1,Hidráulica Generación,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.endesa.com/
ACCGC02,UNIDAD DE COMPRA,"ACCIONA GREEN, SUCURSAL PT",Acciona,derived_from_legal_name,100,100.0,1,Comercializador,COMERCIALIZADOR,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.acciona.com/
ACCGV02,UNIDAD DE VENTA,"ACCIONA GREEN, SUCURSAL PT",Acciona,derived_from_legal_name,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.acciona.com/
ACE3,ACECA 3 IB,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Ciclo Combinado,GENERACION,ZONA ESPAÑOLA,1.0,ACE3,ACECA 3,IBGT,eSIOS UP + OMIE exact code + eSIOS UF,https://www.iberdrola.com/
