subject_code,legal_entity
JOIN,1
VIEPR,18X000000000CICG
ATAL,18XATAL-12345-1E
BURGE,18XBURGE-1234--I
MIRAS,18XMIRAS-12345-9
PECKE,18XPAPELECKERSAC
PEUSA,18XPEUSA-12345-4
TIRCA,18XTIRCA-12345-N
CACI,2026 CACI ENERGIA
SOLIM,"3 SOLIMA, SL"
DSMAR,3D SMART ENERGY SL
AJENE,"A2J ENERGIA, S.L."
ABESL,AB ENERGIA 1903
ABAST,ABASTE COMERCIALIZADORA
ABOGE,"ABOÑO GENERACIONES ELECTRICAS, S.L.U."
ABOUT,ABOUT WHITE SL
ACAPE,ACAPERSA 1997 SL
ACENH,ACENHOL ENERGIA SOCIEDAD LIMITADA
ACENO,ACENORCA
ACOST,ACOS T IBERICA SL
ACSOL,ACSOL ENERGIA GLOBAL
ACTIV,ACTIVA ENERGIA
ADEIN,ADEINNOVA ENERGIA S.L
ADELF,ADELFAS ENERGIA SL
ADSEN,ADS ENERGIA
ADSSM,ADS ENERGY 8.0 SL
ADUR,ADURIZ ENERGIA
ADXRA,ADX RENOVABLES SL
AGENT,AE3000 AGENT COMERCIALIZADOR S
AEQ,AEQ W2M
AME,AGENTE DEL MERCADO ELECTRICO
AGREN,"AGRI ENERGIA, S. A."
AGMA,AGUAS DEL MARQUESADO S.L
ALENE,AHORA LUZ ENERGÍA SL
ALUZ,AHORRELUZ
AIZEE,AIZEN ENERGIA SOSTENIBLE RENOVABLE
ALCAN,ALCANZIA ENERGIA
ELVA1,ALDEA CLIENTES
ALDEF,ALDEFE COMERCIALIZADORA DE ENE
ALDRO,ALDROENERGIA Y SOLUCIONES SL
ALIOE,ALIO ENERGIA S.L.
LOBO,ALMENDRA Y MIEL S.A
ALPEX,ALPEX IBERICA DE ENERGIA SL
ALSEG,ALQUILER SEGURO ENERGIA SA
ALDEC,ALRERAAN ENERGIA SLU
ALSEC,ALSET COMERCIALIZADORA
CODOR,ALTA COMERCIALIZADOR
NEXOR,"ALTANO CONNECT, S.L."
LIUP,ALTERNA OPERADOR INTEGRAL
ALMAE,ALUMINIOS DEL MAESTRE
ALUZE,ALUZ ENERGIA ELECTRICA
AMPEA,"AMPERE ENERGY COMERCIALIZADORA Y SERVICIOS ENERGETICOS, SRL"
AMPER,AMPERIOS ENERGY TRADE
ANGLB,"ANGLER ENERGIA, S.L."
ANIMA,ANIMA
ANTEA,ANTEA ENERGIA COMERCIALIZADORA
APOLB,APOLO BUSINESS SL
APRES,APRESTOS DE LANERIA SA
ARACA,ARACAN ENERGIA SL
HARXX,ARANDINA
ARAS,ARASOL
AMELU,ARCELORMITTAL ENERGY SCA
ARGIM,ARGIMODE SL
ASEGE,ASEGE GESTION SL
ASIE,ASISTENCIA ENERGÉTICA S.L.
ASSEN,"ASSEN ENERGY, S.L."
ASTEN,ASTEN RENOVABLES S.L.U.
ASTRA,ASTRALCAD ENERGIA S.L.
ATENC,ATENCO ENERGIA
ATLAS,ATLAS ENERGIA COMERCIAL
ATPEN,ATP ENERGIA SL
ATRES,ATRIA INVERSIONES ENERGÍA SL
AST,ATURAGUA
ADXRE,AUDAX RENOVABLES
APRIM,AUSARTA PRIMA
AVAN,AVANGREEN
AXEOE,AXEO ENERGIA SL
AYLUZ,AYLUZ COMERCIALIZADORA
AVIL,AYUNTAMIENTO DE AVILES
BACA,BACAICOA
BBEL,BAHÍA DE BIZCAIA ELECTRICIDAD
BALEI,BALEIKE
BARER,BARBO ENERGÍAS RENOVABLES S.A.
BASKO,BASKONIA KIROL HIRIA SLU
BECO,"BASSOLS ENERGIA COMERCIAL,S.L."
BENOI,BEROIL ENERGIA ELECTRICA
BESPI,BESPIN ENERGIA SL
BESTO,"BEST OPTION ENERGY, S.L."
BIODI,BIODIESEL ARAGON
SANTG,"BIOENERGÍA SANTAMARÍA, S.A."
BIROU,BIROU GAS SL
BIZE,BIZCAIA ENERGIA
BOAEN,"BOAENERGETICA 2000, S.L."
BNPRU,BON PREU SAU
BP,BP GAS EUROPE
BSGEA,BSG ENERGIA
EON,BUYING AND SELLING OF POWER IN DAY AHEAD AND INTRADAY
BYENE,BY ENERGYC ENERGIA EFICIENTE
CALEA,CALERA DE ALTZO
DOLNO,CALERA DOLOMITAS
CANDL,CANDELA ENERGÍA SL
CAPAL,CAPALO AI SPAIN OY
CAPTA,CAPTURA ENERGIA SL
CARGY,"CARTO ENERGY, SOCIEDAD LIMITADA"
CASAT,CASAT
CATGA,CATGAS ENERGIA S.A
CEBIN,CEBIN ENERGY SL
CELL,CELLTECH S.L.U
CELSA,CELSA
CEASA,CELULOSA DE ASTURIAS
CENER,"CELULOSA ENERGÍA, S.L"
CEMEK,CEMENTO SOLAR SPAIN S.L
CCSR4,CENTRAL TÉRMICA CCO G4 S.L.
NEAS,CENTRICA ENERGY TRADING A/S
DETIC,CEPSA GAS Y ELECTRICIDAD
CHDUE,CH DUERO
CHARG,CHARGE ENERGY SL
CHCOR,CHC COMERCIAL DE REFERENCIA
CHURC,"CHURCH ENERGY, S.L."
CHC,"CIDE HCENERGÍA, S.A."
CIMA,CIMA ENERGIA COMERCIALIZADORA
CINET,"CINETICA SOLUCIONES ENERGETICAS, S.L."
CLEAR,CLEARVIEW ENERGY
NOEL,COGENERACIÓN DE BEGUDA S.A.
COBUR,COGENERADORA BURGALESA
ELMON,COM ELECTRICA MONTOLIU
CETAL,COMERC ELECTRICA TALAYUELAS
COMER,"COMERCAST ENERGIAS, SL"
TOREN,COMERCIALITZADORA TORRES ENERG
POZO,COMERCIALIZACION
AIREL,COMERCIALIZADOR
NOBE,COMERCIALIZADOR DE ENERGIA
CEDSL,COMERCIALIZADORA DE ENERGIA DIRECTA SL
ORWEL,COMERCIALIZADORA DE ENERGÍA ELÉCTRICA
COMEE,"COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, S.L."
COMEF,"COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVICIOS DE LUZ AMA Y GAS ZON, SOCIEDAD LIMITADA"
ENMED,COMERCIALIZADORA DEL MEDITERRANEO
ALBCO,COMERCIALIZADORA ELECTRICA DALBATARREC SLU
COMED,COMERCIALIZADORA ELECTRICA DE TENERIFE SL
COMEG,COMERCIALIZADORA ELECTRICA INDUSTRIAL SA
ELESU,COMERCIALIZADORA ELECTRICA SUD
SUMAE,COMERCIALIZADORA ELECTRICA VALENCIANA
LUBAL,COMERCIALIZADORA ELECTRICIDAD
CESOS,COMERCIALIZADORA ENERGETICA SOSTENIBLE - GRUPO EDP
COMCH,COMERCIALIZADORA LA CHISTABINA
LER,COMERCIALIZADORA LERSA SL
BEYON,COMERCIALIZADORA LUZIA ENERGIA
COALG,COMERCIALIZADORA SUMINISTRO ES
COMPA,COMPAÑÍA CASTELLANA DE COMERCIALIZACION ELECTRICA S.L.
CEPSA,COMPAÑÍA ESPAÑOLA DE PETROLEOS
LUMIE,COMPAÑIA LUMISA ENERGIAS
TRADB,COMPRAENERGIAPARAGRUPO
CONEC,CONECTA2
CZFV,CONSORCIO ZONA FRANCA DE VIGO
RIVAS,CONSUMIDOR DIRECTO AYUNTAMIENTO RIVAS
ARRUB,"CONTOURGLOBAL LA RIOJA, S.L."
CECA,"COOP ELECTR DE CASTELLAR, S.CV"
CCATR,COOP. ELECT. CATRALENSE
EBIAR,COOP. ELECT. NTRA. SRA. GRACIA
EDFAS,COOP.ELECTRICA SERRALLO
SFAD,COOPELECSANFCODEASIS
CEA,COOPERATIVA ELÉCTRICA-BENÉFICA
CORPO,CORPOLUX
GUIS,CORPORACION ALIMENTARIA GUISSO
VINI,COVINIL
AENER,COX ENERGIA COMERCIALIZADORA
CRCES,CRCES
CREAE,"CREAENERGIA ECO, S.L.U"
CRESO,CRECE SOLUCIONES DE ENERGIA
CUNC,CUNTIENSE COMERCIALIZADORA
CUPA,CUPIRE PADESA S.L
IBCUR,CURENERGÍA
CUVER,"CUVER DESTELLA ENERGIA, SL."
CYDAE,CYDAE
CYE,CYE ENERGÍA S.L.
DAIMU,DAIMUZ ENERGIA SL
DANSK,DANSKE COMMODITIES
DEELU,DEE LUNA ENERGY SL
DEPOA,DEPORTIVO ALAVES SAD
DESMA,DESMA SOLUCIONES SL
DILUZ,DILUZ COMERCIALIZADORA DE ELECTRICIDAD S.L.
DIPBA,DIPUTACION DE BADAJOZ
DIREA,DIRECT GREEN S.L
DIELE,DISA ENERGIA ELECTRICA SL
ELCAT,"DISTRIBUIDORA ELÉCTRICA DE CATOIRA, S.A"
DIVIC,DIVICONSULTING ENERGIA COMERCIALIZADORA
ZEREN,DOMESTICA GAS Y ELECTRICIDAD
DONBE,"DON BELTRAN MARKET, S.L."
DREUA,DREUE AGRUPACION S L
DRK,DRK ENERGY COMERCIALIZADORA
DUERO,DUEROLUZ ENERGIA SL
DUFEA,DUFERCO ENERGIA S.P.A.
DXD,DX COMERCIALIZADORA
DUFER,DXT COMMODITIES SA
DYNEF,DYNEFF ESPAÑA SL
EGEN,E GUIXES ENERGIA
ELUZE,"E-LUZ ENERGY SOLUTIONS, S.L."
CHERA,"E. DE SOT DE CHERA, SOC. COOP"
EBROE,EBROENERGIA COMERCIALIZADORA SL
ECOND,ECO NUEVOS DESARROLLOS
ECOFU,ECOFUTURA LUZ ENERGIA
ECOTH,"ECOTHERMIC XXI, SOCIEDAD LIMITADA"
ECOVE,ECOVERGY RENOVABLES
EDFT,EDF TRADING LTD
EDFAC,EDFA CASABLANCA
EDPCL,EDP CLIENTES
HC G,"EDP ESPAÑA, S.A."
