codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
3PINOS,18W0000000004ZX6,3PINOS,3PINOS - VELA,Solar fotovoltaica,GNRA,UPBLAN,"6,0"
3VILLAS,18W3VILLAS-123-5,3VILLAS,PARQUE EÓLICO TRES VILLAS,Eólica terrestre,CEG,EUW3VIL,"49,5"
4CAM1,18W000000000RO29,4CAMINOS1,CUATROCAMINOS1,Solar fotovoltaica,ADXRE,FAUDAX,"6,2"
4CAM2,18W000000000RO37,4CAMINOS2,CUATROCAMINOS2,Solar fotovoltaica,ADXRE,FAUDAX,"6,2"
4CAM3,18W000000000RO45,4CAMINOS3,CUATROCAMINOS4,Solar fotovoltaica,ADXRE,FAUDAX,"3,7"
4CAM4,18W000000000RO53,CUATROCAM4,CUATROCAM4,Solar fotovoltaica,ADXRE,FAUDAX,"3,7"
98D-481,18W98D-481-123-M,98D-481,TORRAS PAPEL-MONTAÑESA,Gas natural cogeneración,NEXU,TTFTPZG,"23,6"
98FUTUR,18W98FUTUR-123-W,98FUTUR,UF 98FUTUR,Solar fotovoltaica,EFG,FGEFG,"1,5"
ABA1,18WABA1-12345-AJ,ABARAN 1,ABARAN 1,Fluyente,BARER,ABA1,"0,3"
ABA2,18WABA2-12345-A9,ABARAN 2,ABARAN 2,Fluyente,BARER,ABA2,"0,4"
ABADC,18W000000000N8TJ,ABADC,ABADIÑO COMPRA,Batería electroquímica,IBGES,AFIBGEC,"6,8"
ABADV,18W000000000N8UH,ABADV,BATERIAS ABADIÑO,Batería electroquímica,IBGES,AFIBGEV,"6,8"
ABARA,18WABARA-12345-Z,ABARA,P.E E. ABARA,Eólica terrestre,EGED,EABARA,"6,0"
ABASC01,18W000000000JLUV,UPC ABAST,UP COMPRA ABASTE,Comercializadores mercado libre,ABAST,ABASC01,"1,0"
ABELLA,18W000000000FFGJ,ABELLA,18W000000000FFGJ,Eólica terrestre,EGLE,EINVER,"15,0"
ABENOJA,18W000000000R5QI,ABENOJA,ABENOJAR,Solar fotovoltaica,NEXU,FABENOJ,"5,0"
ABJEREZ,18W000000000TF4O,JEREZ,JEREZ,Solar fotovoltaica,SHEEN,SHEPV29,"23,0"
ABNIX,18W000000000SJFV,ABNIX,ABNIX,Solar fotovoltaica,GNRA,FVGNRA,"1,8"
ABO1,18WABO1-12345-D7,ABOÑO 1,ABOÑO  (G.1),Hulla antracita,ABOGE,ABO1,"341,7"
ABO2,18WABO2-12345-DY,ABOÑO 2,ABOÑO  (G.2),Turbina vapor - Fuel gas,ABOGE,ABO2G,"561,8"
