codigo_de_sujeto,nombre,codigo_eic,tipo_de_sm
JOIN,1,18X0000000001RQ5,Consumidor directo mercado
VIEPR,18X000000000CICG,18X000000000CICG,Productor
ATAL,18XATAL-12345-1E,18XATAL-12345-1E,Productor
BURGE,18XBURGE-1234--I,18XBURGE-1234--I,Productor
MIRAS,18XMIRAS-12345-9,18XMIRAS-12345-9,Productor
PECKE,18XPAPELECKERSAC,18XPAPELECKERSAC,Productor
PEUSA,18XPEUSA-12345-4,18XPEUSA-12345-4,Productor
TIRCA,18XTIRCA-12345-N,18XTIRCA-12345-N,Productor
CACI,2026 CACI ENERGIA,18X000000000PJDX,Comercializador
SOLIM,"3 SOLIMA, SL",18X000000000PI89,Comercializador
DSMAR,3D SMART ENERGY SL,18X000000000LHZB,Comercializador
AJENE,"A2J ENERGIA, S.L.",18X000000000P83C,Comercializador
ABESL,AB ENERGIA 1903,18XABESL-12345-G,Comercializador
ABAST,ABASTE COMERCIALIZADORA,18X000000000FUA9,Comercializador
ABOGE,"ABOÑO GENERACIONES ELECTRICAS, S.L.U.",18X000000000P4PH,Productor
ABOUT,ABOUT WHITE SL,18XABOUT-1234--H,Comercializador
ACAPE,ACAPERSA 1997 SL,18X000000000M3AP,Consumidor directo mercado
ACENH,ACENHOL ENERGIA SOCIEDAD LIMITADA,18X000000000M8D4,Comercializador
ACENO,ACENORCA,18XACENORCASCL-S,Consumidor directo mercado
ACOST,ACOS T IBERICA SL,18X000000000PLIH,Comercializador
ACSOL,ACSOL ENERGIA GLOBAL,18X00000000019VC,Comercializador
ACTIV,ACTIVA ENERGIA,18X000000000G865,Comercializador
ADEIN,ADEINNOVA ENERGIA S.L,18XADEIN-12345-0,Comercializador
ADELF,ADELFAS ENERGIA SL,18XADELF-12345-5,Comercializador
ADSEN,ADS ENERGIA,18X000000000J8I6,Comercializador
ADSSM,ADS ENERGY 8.0 SL,18XADSSM-12345-E,Comercializador
ADUR,ADURIZ ENERGIA,18XADURI-12345-1,Comercializador
ADXRA,ADX RENOVABLES SL,18X000000000P0RP,Comercializador
AGENT,AE3000 AGENT COMERCIALIZADOR S,18XAE3000AGENTC1,Productor
AEQ,AEQ W2M,18X000000000PE5R,Comercializador
AME,AGENTE DEL MERCADO ELECTRICO,18XAME-123456-14,Comercializador
AGREN,"AGRI ENERGIA, S. A.",18XAGREN-1234-3J,Comercializador
AGMA,AGUAS DEL MARQUESADO S.L,18XAGMA-123456-K,Consumidor directo mercado
ALENE,AHORA LUZ ENERGÍA SL,18X000000000ND51,Comercializador
ALUZ,AHORRELUZ,18X0000000002ONG,Comercializador
AIZEE,AIZEN ENERGIA SOSTENIBLE RENOVABLE,18X000000000P60O,Comercializador
ALCAN,ALCANZIA ENERGIA,18XALCANZIA-ESP2,Comercializador
ELVA1,ALDEA CLIENTES,18XELVA1-12345-H,Comercializador
ALDEF,ALDEFE COMERCIALIZADORA DE ENE,18XALDEF-12345-R,Comercializador
ALDRO,ALDROENERGIA Y SOLUCIONES SL,18XALDROENERGIAI,Comercializador
ALIOE,ALIO ENERGIA S.L.,18X000000000P2CC,Comercializador
LOBO,ALMENDRA Y MIEL S.A,18XLOBO-123456-L,Consumidor directo mercado
ALPEX,ALPEX IBERICA DE ENERGIA SL,18X0000000008VQ2,Comercializador
ALSEG,ALQUILER SEGURO ENERGIA SA,18X000000000K4EM,Comercializador
ALDEC,ALRERAAN ENERGIA SLU,18X000000000NLQ9,Comercializador
ALSEC,ALSET COMERCIALIZADORA,18X000000000H7XO,Comercializador
CODOR,ALTA COMERCIALIZADOR,18X0000000005GY6,Comercializador
NEXOR,"ALTANO CONNECT, S.L.",18X000000000PIU2,Comercializador
LIUP,ALTERNA OPERADOR INTEGRAL,18XLIUP-123456-M,Comercializador
ALMAE,ALUMINIOS DEL MAESTRE,18X18XALUMAESTRA,Consumidor directo mercado
ALUZE,ALUZ ENERGIA ELECTRICA,18X000000000JZ7L,Comercializador
AMPEA,"AMPERE ENERGY COMERCIALIZADORA Y SERVICIOS ENERGETICOS, SRL",18X000000000P874,Comercializador
AMPER,AMPERIOS ENERGY TRADE,18X000000000L409,Comercializador
ANGLB,"ANGLER ENERGIA, S.L.",18X000000000PFNP,Comercializador
ANIMA,ANIMA,18X0000000006BIC,Comercializador
ANTEA,ANTEA ENERGIA COMERCIALIZADORA,18X0000000003F35,Comercializador
APOLB,APOLO BUSINESS SL,18X000000000P3Z0,Comercializador
APRES,APRESTOS DE LANERIA SA,18X000000000NKXZ,Representante
ARACA,ARACAN ENERGIA SL,18XARACA-12345-G,Comercializador
HARXX,ARANDINA,18X000000000N320,Consumidor directo mercado
ARAS,ARASOL,18XARAS-123456-P,Consumidor directo mercado
AMELU,ARCELORMITTAL ENERGY SCA,22X10092011----M,Representante
ARGIM,ARGIMODE SL,18X000000000NQYF,Consumidor directo mercado
ASEGE,ASEGE GESTION SL,18X000000000PDG8,Comercializador
ASIE,ASISTENCIA ENERGÉTICA S.L.,18XASIE-123456-S,Comercializador
ASSEN,"ASSEN ENERGY, S.L.",18X000000000P5GW,Comercializador
ASTEN,ASTEN RENOVABLES S.L.U.,18X000000000PG3P,Comercializador
ASTRA,ASTRALCAD ENERGIA S.L.,18X000000000LSEK,Comercializador
ATENC,ATENCO ENERGIA,18X000000000HDW8,Comercializador
ATLAS,ATLAS ENERGIA COMERCIAL,18XATLAS-12345-P,Comercializador
ATPEN,ATP ENERGIA SL,18X000000000P4MN,Comercializador
ATRES,ATRIA INVERSIONES ENERGÍA SL,18X000000000P6R7,Representante
AST,ATURAGUA,18XASTURAGUASICF,Consumidor directo mercado
ADXRE,AUDAX RENOVABLES,18X000000000CNU2,Comercializador
APRIM,AUSARTA PRIMA,18X0000000003DYN,Comercializador
AVAN,AVANGREEN,18X00000000063QK,Comercializador
AXEOE,AXEO ENERGIA SL,18X000000000PKTZ,Comercializador
AYLUZ,AYLUZ COMERCIALIZADORA,18XAYLUZ-12345-Z,Comercializador
AVIL,AYUNTAMIENTO DE AVILES,18XAVIL-123456-X,Consumidor directo mercado
BACA,BACAICOA,18X000000000CH6V,Consumidor directo mercado
BBEL,BAHÍA DE BIZCAIA ELECTRICIDAD,18XBBEL-12345-0R,Productor
BALEI,BALEIKE,18X000000000I1RD,Consumidor directo mercado
BARER,BARBO ENERGÍAS RENOVABLES S.A.,18XBARER-12345-W,Productor
BASKO,BASKONIA KIROL HIRIA SLU,18X000000000P23U,Consumidor directo mercado
BECO,"BASSOLS ENERGIA COMERCIAL,S.L.",18XBECO-12345-3E,Comercializador
BENOI,BEROIL ENERGIA ELECTRICA,18X000000000HO5T,Comercializador
BESPI,BESPIN ENERGIA SL,18X000000000P64G,Comercializador
BESTO,"BEST OPTION ENERGY, S.L.",18X000000000P58B,Comercializador
BIODI,BIODIESEL ARAGON,18X000000000P0MZ,Consumidor directo mercado
SANTG,"BIOENERGÍA SANTAMARÍA, S.A.",18XSANTG-12345-Q,Productor
BIROU,BIROU GAS SL,18XBIROU-12345-V,Comercializador
BIZE,BIZCAIA ENERGIA,18XBIZE-12345-04,Productor
BOAEN,"BOAENERGETICA 2000, S.L.",18X000000000P2QL,Comercializador
BNPRU,BON PREU SAU,18X000000000GDUG,Comercializador
BP,BP GAS EUROPE,18XBP-1234567-3K,Comercializador
BSGEA,BSG ENERGIA,18X00000000079AU,Comercializador
EON,BUYING AND SELLING OF POWER IN DAY AHEAD AND INTRADAY,11XEON-H-------8,Comercializador
BYENE,BY ENERGYC ENERGIA EFICIENTE,18X000000000H7WQ,Comercializador
CALEA,CALERA DE ALTZO,18X000000000BPZR,Consumidor directo mercado
DOLNO,CALERA DOLOMITAS,18X000000000BQ0K,Consumidor directo mercado
CANDL,CANDELA ENERGÍA SL,18X000000000F105,Comercializador
CAPAL,CAPALO AI SPAIN OY,44X-00000000323W,Comercializador
CAPTA,CAPTURA ENERGIA SL,18X000000000P12Z,Comercializador
CARGY,"CARTO ENERGY, SOCIEDAD LIMITADA",18X000000000PFLT,Comercializador
CASAT,CASAT,18X0000000001FYP,Consumidor directo mercado
CATGA,CATGAS ENERGIA S.A,18XCATGA-12345-J,Comercializador
CEBIN,CEBIN ENERGY SL,18X000000000PK4B,Comercializador
CELL,CELLTECH S.L.U,18XCELL-123456-U,Consumidor directo mercado
CELSA,CELSA,18X0000000003VQM,Comercializador
CEASA,CELULOSA DE ASTURIAS,18XCEASA-1234-4V,Consumidor directo mercado
CENER,"CELULOSA ENERGÍA, S.L",18XCENER-1234-1T,Productor
CEMEK,CEMENTO SOLAR SPAIN S.L,18X000000000P9ZJ,Comercializador
CCSR4,CENTRAL TÉRMICA CCO G4 S.L.,18XCCSR4-12345-O,Productor
NEAS,CENTRICA ENERGY TRADING A/S,11XNEAS--------Q,Comercializador
DETIC,CEPSA GAS Y ELECTRICIDAD,18XDETI-12345-1D,Comercializador
CHDUE,CH DUERO,18XCHDUE-12345-9,Productor
CHARG,CHARGE ENERGY SL,18X000000000PFJX,Comercializador
CHCOR,CHC COMERCIAL DE REFERENCIA,18XCHCOR-12345-0,Comercializador de Referencia
CHURC,"CHURCH ENERGY, S.L.",18X000000000P9P2,Comercializador
CHC,"CIDE HCENERGÍA, S.A.",18XCHC-1234567-3,Comercializador
CIMA,CIMA ENERGIA COMERCIALIZADORA,18X000000000C262,Comercializador
CINET,"CINETICA SOLUCIONES ENERGETICAS, S.L.",18X000000000PGQG,Comercializador
CLEAR,CLEARVIEW ENERGY,18X000000000KB0T,Comercializador
NOEL,COGENERACIÓN DE BEGUDA S.A.,18XNOEL-123456-T,Productor
COBUR,COGENERADORA BURGALESA,18XCOBUR-12345-F,Productor
ELMON,COM ELECTRICA MONTOLIU,18X00000000023CR,Comercializador
CETAL,COMERC ELECTRICA TALAYUELAS,18XCETAL-12345-6,Comercializador
COMER,"COMERCAST ENERGIAS, SL",18X000000000JVAR,Comercializador
TOREN,COMERCIALITZADORA TORRES ENERG,18X0000000001C2O,Comercializador
POZO,COMERCIALIZACION,18XELECTDELPOZOP,Comercializador
AIREL,COMERCIALIZADOR,18X000000000572N,Comercializador
NOBE,COMERCIALIZADOR DE ENERGIA,18XNOBE-123456-L,Comercializador
CEDSL,COMERCIALIZADORA DE ENERGIA DIRECTA SL,18XCEDSL-12345-2,Comercializador
ORWEL,COMERCIALIZADORA DE ENERGÍA ELÉCTRICA,18X0000000008XZF,Comercializador
COMEE,"COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, S.L.",18X000000000PB41,Comercializador
COMEF,"COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVICIOS DE LUZ AMA Y GAS ZON, SOCIEDAD LIMITADA",18X000000000PDJ2,Comercializador
ENMED,COMERCIALIZADORA DEL MEDITERRANEO,18X0000000001D6D,Comercializador
ALBCO,COMERCIALIZADORA ELECTRICA DALBATARREC SLU,18X00000000023DP,Comercializador
COMED,COMERCIALIZADORA ELECTRICA DE TENERIFE SL,18X000000000P793,Comercializador
COMEG,COMERCIALIZADORA ELECTRICA INDUSTRIAL SA,18X000000000PK1H,Comercializador
ELESU,COMERCIALIZADORA ELECTRICA SUD,18X00000000023US,Comercializador
SUMAE,COMERCIALIZADORA ELECTRICA VALENCIANA,18X000000000GW67,Comercializador
LUBAL,COMERCIALIZADORA ELECTRICIDAD,18XLUBALOO12345L,Comercializador
CESOS,COMERCIALIZADORA ENERGETICA SOSTENIBLE - GRUPO EDP,18X000000000GI7A,Comercializador
COMCH,COMERCIALIZADORA LA CHISTABINA,18X0000000006SQJ,Comercializador
LER,COMERCIALIZADORA LERSA SL,18XLER-123456-3W,Comercializador
BEYON,COMERCIALIZADORA LUZIA ENERGIA,18X0000000008NYA,Comercializador
COALG,COMERCIALIZADORA SUMINISTRO ES,18XCOALG-12345-U,Comercializador
COMPA,COMPAÑÍA CASTELLANA DE COMERCIALIZACION ELECTRICA S.L.,18X000000000JVVM,Comercializador
CEPSA,COMPAÑÍA ESPAÑOLA DE PETROLEOS,18XCEPSA-12345-6,Productor
LUMIE,COMPAÑIA LUMISA ENERGIAS,18XLUMIE-12345-G,Comercializador
TRADB,COMPRAENERGIAPARAGRUPO,18X000000000G6S4,Consumidor directo mercado
CONEC,CONECTA2,18XCONEC-12345-U,Comercializador
