uf_code,uf_name,up_code,subject_code,technology_esios
3PINOS,3PINOS,3PINOS,,Solar fotovoltaica
3VILLAS,3VILLAS,3VILLAS,,Eólica terrestre
4CAM1,4CAMINOS1,4CAM1,,Solar fotovoltaica
4CAM2,4CAMINOS2,4CAM2,,Solar fotovoltaica
4CAM3,4CAMINOS3,4CAM3,,Solar fotovoltaica
4CAM4,CUATROCAM4,4CAM4,,Solar fotovoltaica
98D-481,98D-481,98D-481,,Gas natural cogeneración
98FUTUR,98FUTUR,98FUTUR,,Solar fotovoltaica
ABA1,ABARAN 1,ABA1,,Fluyente
ABA2,ABARAN 2,ABA2,,Fluyente
ABADC,ABADC,ABADC,,Batería electroquímica
ABADV,ABADV,ABADV,,Batería electroquímica
ABARA,ABARA,ABARA,,Eólica terrestre
ABASC01,UPC ABAST,ABASC01,,Comercializadores mercado libre
ABELLA,ABELLA,ABELLA,,Eólica terrestre
ABENOJA,ABENOJA,ABENOJA,,Solar fotovoltaica
ABJEREZ,JEREZ,ABJEREZ,,Solar fotovoltaica
ABNIX,ABNIX,ABNIX,,Solar fotovoltaica
ABO1,ABOÑO 1,ABO1,,Hulla antracita
ABO2,ABOÑO 2,ABO2,,Turbina vapor - Fuel gas
ABOUC01,ABOUTWHI,ABOUC01,,Comercializadores mercado libre
ABOX,ABOX,ABOX,,Consumo de Servicios Auxiliares
AC86BA,AC86BA,AC86BA,,Comercializadores mercado libre
ACAIX,ACAIX,ACAIX,,Solar fotovoltaica
ACAMP,ACAMP,ACAMP,,Eólica terrestre
