up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
AFALZ4C,UOF C BATERIA FVALZ,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFALZ5C,UOF C BATERIA FVALZII,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIANHC,UOF C BATERIA ANDEVALO,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIOLHC,UOF C BATERIA OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIREHC,UOF C BATERIA REVILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
AFIROHC,HIB ROMERAL OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,Iberdrola,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.iberdrola.com/
ASRIHCC,UNIDAD OFERTA BATERIA SOTO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",EDP,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.edp.com/
EGEDBAT,COMPRA BATERIA,ACCIONA GREEN ENERGY DEVELOPMENTS,Acciona,derived_from_legal_name,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,https://www.acciona.com/
EGLARMC,UNIDADE CARREGAMENTO,"AXPO IBERIA, S.L.",Axpo,verified_corporate,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.axpo.com/es/es/about-us/axpo-iberia.html
FHERCON,HIB HERCULES CONSUMO,SOLARIA REPRESENTACION EN MERCADO S.L.,,,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
IGNARMC,IGNIS COMPRA PT,IGNIS ENERGIA S.L.,,,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA PORTUGUESA,,,,,OMIE exact unit code,
SMBC02,COMPRA BATERIA BATALHA,SIMPLES ENERGIA DE ESPAÑA SL,,,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA PORTUGUESA,,,,,OMIE exact unit code,
UPACAC,UOF ACADIEMS COMPRA,IGNIS ENERGIA S.L.,,,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
UPXENC,UPXENC,GNERA ENERGIA Y TECNOLOGIA,,,100,100.0,1,Almacenamiento Compra,ALMACENAMIENTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Consumo Bombeo Mixto,BOMBEO,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,EDP,derived_from_legal_name,100,100.0,1,Consumo Bombeo Mixto,BOMBEO,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.edp.com/
